,circle,kpi,periodicity,range,period_year,period_month,date,value
0,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,3,2014-03-01,24514.12
1,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,3,2014-03-01,24514.12
2,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,3,2014-03-01,24514.12
3,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,6,2014-06-01,23346.09
4,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,6,2014-06-01,23346.09
5,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,6,2014-06-01,23346.09
6,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,9,2014-09-01,14161.84
7,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,9,2014-09-01,14161.84
8,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,9,2014-09-01,14161.84
9,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,12,2014-12-01,17558.45
10,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,12,2014-12-01,17558.45
11,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,12,2014-12-01,17558.45
12,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,3,2015-03-01,11900.41
13,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,3,2015-03-01,11900.41
14,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,3,2015-03-01,11900.41
15,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,6,2015-06-01,6387.56
16,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,6,2015-06-01,6387.56
17,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,6,2015-06-01,6387.56
18,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,9,2015-09-01,23166.38
19,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,9,2015-09-01,23166.38
20,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,9,2015-09-01,23166.38
21,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,12,2015-12-01,14185.12
22,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,12,2015-12-01,14185.12
23,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,12,2015-12-01,14185.12
24,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,3,2016-03-01,228.56
25,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,3,2016-03-01,228.56
26,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,3,2016-03-01,228.56
27,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,6,2016-06-01,10242.38
28,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,6,2016-06-01,10242.38
29,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,6,2016-06-01,10242.38
30,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,9,2016-09-01,11017.14
31,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,9,2016-09-01,11017.14
32,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,9,2016-09-01,11017.14
33,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,12,2016-12-01,29593.79
34,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,12,2016-12-01,29593.79
35,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,12,2016-12-01,29593.79
36,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,3,2017-03-01,9837.18
37,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,3,2017-03-01,9837.18
38,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,3,2017-03-01,9837.18
39,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,6,2017-06-01,41719.31
40,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,6,2017-06-01,41719.31
41,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,6,2017-06-01,41719.31
42,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,9,2017-09-01,12127.28
43,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,9,2017-09-01,12127.28
44,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,9,2017-09-01,12127.28
45,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,12,2017-12-01,11827.15
