,kpi,circle,periodicity,unit,initial_value,target_value,date,value,cumulated_value,progress,performance
0,additional monetization/savings from CRM,Digital,quarter,chf,2387.415,65256.009999999995,2014-03-01,24514.12,24514.12,35.19516381748311,12.040170058708664
1,additional monetization/savings from CRM,Digital,quarter,chf,2387.415,65256.009999999995,2014-06-01,23346.09,47860.21,72.32990493902402,23.614574511639454
2,additional monetization/savings from CRM,Digital,quarter,chf,2387.415,65256.009999999995,2014-09-01,14161.84,62022.05,94.85600083793825,30.635658725642458
3,additional monetization/savings from CRM,Digital,quarter,chf,2387.415,65256.009999999995,2014-12-01,17558.45,79580.5,122.78481012658231,39.34069677983322
4,additional monetization/savings from CRM,Digital,quarter,chf,7233.131100000001,48406.33890000001,2015-03-01,11900.41,11900.41,11.335718418325417,5.786609775510169
5,additional monetization/savings from CRM,Digital,quarter,chf,7233.131100000001,48406.33890000001,2015-06-01,6387.56,18287.97,26.849593438770142,8.95340142701852
6,additional monetization/savings from CRM,Digital,quarter,chf,7233.131100000001,48406.33890000001,2015-09-01,23166.38,41454.350000000006,83.11526045342525,20.438710180231016
7,additional monetization/savings from CRM,Digital,quarter,chf,7233.131100000001,48406.33890000001,2015-12-01,14185.12,55639.47000000001,117.56756756756756,27.47133603292659
8,additional monetization/savings from CRM,Digital,quarter,chf,6640.643099999999,42908.77079999999,2016-03-01,228.56,228.56,-17.679663954640816,0.0
9,additional monetization/savings from CRM,Digital,quarter,chf,6640.643099999999,42908.77079999999,2016-06-01,10242.38,10470.939999999999,10.56105496176468,5.0779144893474335
10,additional monetization/savings from CRM,Digital,quarter,chf,6640.643099999999,42908.77079999999,2016-09-01,11017.14,21488.079999999998,40.93797458422427,10.539935507623378
11,additional monetization/savings from CRM,Digital,quarter,chf,6640.643099999999,42908.77079999999,2016-12-01,29593.79,51081.869999999995,122.53521126760565,25.211792540432665
12,additional monetization/savings from CRM,Digital,quarter,chf,9061.3104,70980.26479999999,2017-03-01,9837.18,9837.18,1.2530405390695682,4.763712215386809
13,additional monetization/savings from CRM,Digital,quarter,chf,9061.3104,70980.26479999999,2017-06-01,41719.31,51556.49,68.6303249332647,25.44709720350259
14,additional monetization/savings from CRM,Digital,quarter,chf,9061.3104,70980.26479999999,2017-09-01,12127.28,63683.77,88.21605618069029,31.459497722559032
15,additional monetization/savings from CRM,Digital,quarter,chf,9061.3104,70980.26479999999,2017-12-01,11827.15,75510.92,107.31707317073172,37.32310133350546
16,additional monetization/savings from CRM,Digital,quarter,chf,6057.9906,197894.35960000003,2018-03-01,32546.24,32546.24,13.80773079582214,16.022293210571544
17,additional monetization/savings from CRM,Digital,quarter,chf,6057.9906,197894.35960000003,2018-06-01,87600.48,120146.72,59.471897844355034,59.45240873702049
18,additional monetization/savings from CRM,Digital,quarter,chf,6057.9906,197894.35960000003,2018-09-01,79378.54,199525.26,100.85015182913517,98.8062931280746
19,additional monetization/savings from CRM,Digital,quarter,chf,6057.9906,197894.35960000003,2018-12-01,2407.76,201933.02000000002,102.10526315789474,100.0
20,additional monetization/savings from CRM,Digital,quarter,chf,13243.0545,100850.95349999999,2019-03-01,35922.06,35922.06,25.88694142750758,17.695939891462984
21,additional monetization/savings from CRM,Digital,quarter,chf,13243.0545,100850.95349999999,2019-06-01,14883.89,50805.95,42.87615149862229,25.074998341633098
22,additional monetization/savings from CRM,Digital,quarter,chf,13243.0545,100850.95349999999,2019-09-01,19893.39,70699.34,65.58345326829492,34.93764094259492
23,additional monetization/savings from CRM,Digital,quarter,chf,13243.0545,100850.95349999999,2019-12-01,31170.31,101869.65,101.16279069767442,50.391096954425294
24,additional monetization/savings from CRM,Digital,quarter,chf,8087.54,40863.36,2020-03-01,29323.87,29323.87,64.79267337933878,14.424723181629199
25,additional monetization/savings from CRM,Digital,quarter,chf,8087.54,40863.36,2020-06-01,2460.47,31784.34,72.2996404056405,15.644562346315988
26,additional monetization/savings from CRM,Digital,quarter,chf,8087.54,40863.36,2020-09-01,2560.64,34344.98,80.11222907619093,16.914063278521457
27,additional monetization/savings from CRM,Digital,quarter,chf,8087.54,40863.36,2020-12-01,8221.02,42566.0,105.1948051948052,20.989838301046987
28,additional monetization/savings from CRM,Digital,quarter,chf,12340.634900000001,63155.0139,2021-03-01,37724.41,37724.41,49.95392170393345,18.589499706650017
29,additional monetization/savings from CRM,Digital,quarter,chf,12340.634900000001,63155.0139,2021-06-01,6875.3,44599.71000000001,63.48414707577162,21.99810058736431
30,additional monetization/savings from CRM,Digital,quarter,chf,12340.634900000001,63155.0139,2021-09-01,20207.81,64807.520000000004,103.25204426880825,32.01662471915594
31,additional monetization/savings from CRM,Digital,quarter,chf,12340.634900000001,63155.0139,2021-12-01,7784.45,72591.97,118.57142857142857,35.87595931195572
32,additional monetization/savings from CRM,Digital,quarter,chf,9996.348500000002,57626.009,2022-03-01,25708.78,25708.78,32.98875392991726,12.63245245048126
33,additional monetization/savings from CRM,Digital,quarter,chf,9996.348500000002,57626.009,2022-06-01,7921.44,33630.22,49.62007129989936,16.55970324106864
34,additional monetization/savings from CRM,Digital,quarter,chf,9996.348500000002,57626.009,2022-09-01,16816.78,50447.0,84.92744032891018,24.897039956379743
35,additional monetization/savings from CRM,Digital,quarter,chf,9996.348500000002,57626.009,2022-12-01,8355.05,58802.05,102.46913580246914,29.039263683113404
36,additional monetization/savings from CRM,Digital,quarter,chf,4080.0,67320.0,2023-03-01,51000.0,51000.0,74.19354838709677,25.171203452814083
37,additional monetization/savings from CRM,Digital,quarter,chf,4080.0,67320.0,2023-06-01,0.0,51000.0,74.19354838709677,25.171203452814083
38,additional monetization/savings from CRM,Digital,quarter,chf,4080.0,67320.0,2023-09-01,0.0,51000.0,74.19354838709677,25.171203452814083
39,additional monetization/savings from CRM,Digital,quarter,chf,4080.0,67320.0,2023-12-01,17000.0,68000.0,101.0752688172043,33.5993760375948
40,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-01-01,248384.0,248384.0,-14.27000209907974,0.0
41,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-02-01,677356.61,925740.61,2.09305392517511,3.846687804746728
42,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-03-01,437920.52,1363661.13,12.67199845327356,6.333625259645627
43,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-04-01,339549.48,1703210.6099999999,20.874571635879104,8.261916538628041
44,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-05-01,336036.85,2039247.46,28.992289425278283,10.17025969754474
45,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-06-01,361332.68,2400580.14,37.72108427122237,12.222257113813333
46,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-07-01,395194.1,2795774.24,47.26787705848841,14.466552515282668
47,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-08-01,315559.73,3111333.97,54.89092445296018,16.258606725929805
48,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-09-01,547618.08,3658952.0500000003,68.11985761851219,19.368513322980387
49,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-10-01,473700.13,4132652.18,79.56313823533057,22.058642106366648
50,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-11-01,630728.84,4763381.0200000005,94.79979672904967,25.640532208435708
51,private donations,Fundraising,month,chf,839097.6315000001,4978645.946900001,2014-12-01,830603.19,5593984.210000001,114.86486486486487,30.35750272940948
52,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-01-01,311620.55,311620.55,-17.464618195487013,0.3591184644957649
53,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-02-01,281133.04,592753.59,-10.993334459026206,1.9556645386226184
54,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-03-01,779006.49,1371760.08,6.938289761785482,6.379618952976905
55,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-04-01,404485.34,1776245.4200000002,16.248968443945436,8.676679026808374
56,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-05-01,280793.16,2057038.58,22.71242862499508,10.271294932643112
57,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-06-01,467833.3,2524871.88,33.48128747440243,12.928106165007724
58,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-07-01,452400.01,2977271.8899999997,43.89489388326745,15.497272207890656
59,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-08-01,383833.33,3361105.2199999997,52.73019259429975,17.677050138405466
60,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-09-01,494820.82,3855926.0399999996,64.12026586682654,20.487122684724568
61,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-10-01,458280.19,4314206.2299999995,74.66922567706146,23.08968209287741
62,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-11-01,737379.01,5051585.239999999,91.64264436531158,27.277235300992132
63,private donations,Fundraising,month,chf,1070338.8206999998,5414655.210599999,2015-12-01,1244525.47,6296110.709999999,120.28985507246377,34.344857994075014
64,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-01-01,457134.1,457134.1,-4.768152699240638,1.1854855360600376
65,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-02-01,545421.58,1002555.6799999999,5.241921714243311,4.282918275709086
66,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-03-01,578795.07,1581350.75,15.864496862182364,7.569878060771979
67,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-04-01,524063.85,2105414.6,25.482594730471497,10.54602089446134
68,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-05-01,448401.8,2553816.4,33.71207363216832,13.092481223070934
69,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-06-01,499725.32,3053541.7199999997,42.88348859433773,15.93040627730072
70,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-07-01,387578.22,3441119.9399999995,49.996677667725045,18.131451325431932
71,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-08-01,922212.18,4363332.119999999,66.92195691102387,23.36866654386007
72,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-09-01,597703.78,4961035.899999999,77.89156195492521,26.763008324000108
73,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-10-01,469153.72,5430189.619999999,86.50189902402836,29.42731818180981
74,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-11-01,695197.98,6125387.6,99.26080656836082,33.37532658989276
75,private donations,Fundraising,month,chf,716937.701,6165664.2286,2016-12-01,1043989.41,7169377.01,118.42105263157893,39.304111032893516
76,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-01-01,499464.98,499464.98,-8.418720251009216,1.425881329732439
77,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-02-01,470967.3,970432.28,0.6682718018207331,4.100490453786745
78,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-03-01,642704.42,1613136.7000000002,13.068814168262483,7.75038951429908
79,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-04-01,495108.93,2108245.6300000004,22.62160246629324,10.562098228638197
80,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-05-01,554637.19,2662882.8200000003,33.322947841511294,13.711866140155282
81,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-06-01,556835.67,3219718.49,44.06671138522704,16.874119153434318
82,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-07-01,472386.83,3692105.3200000003,53.181092298873345,19.556789745641233
83,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-08-01,481426.88,4173532.2,62.46989479658117,22.290798509759245
84,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-09-01,422727.53,4596259.73,70.62613346882537,24.691455431645203
85,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-10-01,655384.08,5251643.8100000005,83.27132120587477,28.413361899733193
86,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-11-01,889252.6,6140896.41,100.42884214025464,33.46340065518184
87,private donations,Fundraising,month,chf,935796.5981000001,6118670.0645,2017-12-01,1057538.96,7198435.37,120.83333333333333,39.46913258489098
88,private donations,Fundraising,month,chf,507649.97500000003,6526928.25,2018-01-01,528105.38,528105.38,0.3398315224095528,1.5885292994674185
