,circle,kpi,periodicity,range,period_year,period_month,date,value
216,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,1,2014-01-01,51000.0
217,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,2,2014-02-01,51000.0
218,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,3,2014-03-01,51000.0
219,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,4,2014-04-01,0.0
220,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,5,2014-05-01,0.0
221,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,6,2014-06-01,0.0
222,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,7,2014-07-01,0.0
223,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,8,2014-08-01,0.0
224,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,9,2014-09-01,0.0
225,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,10,2014-10-01,17000.0
226,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,11,2014-11-01,17000.0
227,Digital,additional monetization/savings from CRM,quarter,0 <= X,2014,12,2014-12-01,17000.0
336,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,1,2015-01-01,51000.0
337,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,2,2015-02-01,51000.0
338,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,3,2015-03-01,51000.0
339,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,4,2015-04-01,0.0
340,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,5,2015-05-01,0.0
341,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,6,2015-06-01,0.0
342,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,7,2015-07-01,0.0
343,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,8,2015-08-01,0.0
344,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,9,2015-09-01,0.0
345,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,10,2015-10-01,17000.0
346,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,11,2015-11-01,17000.0
347,Digital,additional monetization/savings from CRM,quarter,0 <= X,2015,12,2015-12-01,17000.0
456,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,1,2016-01-01,51000.0
457,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,2,2016-02-01,51000.0
458,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,3,2016-03-01,51000.0
459,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,4,2016-04-01,0.0
460,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,5,2016-05-01,0.0
461,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,6,2016-06-01,0.0
462,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,7,2016-07-01,0.0
463,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,8,2016-08-01,0.0
464,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,9,2016-09-01,0.0
465,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,10,2016-10-01,17000.0
466,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,11,2016-11-01,17000.0
467,Digital,additional monetization/savings from CRM,quarter,0 <= X,2016,12,2016-12-01,17000.0
576,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,1,2017-01-01,51000.0
